lang	Exp	cycle	Acc
tur	Exp.1	1	87.11
tur	Exp.1	2	96.06
tur	Exp.1	3	96.88
tur	Exp.1	4	97.43
tur	Exp.1	5	98.24
tur	Exp.2	1	87.11
tur	Exp.2	2	95.97
tur	Exp.2	3	96.82
tur	Exp.2	4	97.44
tur	Exp.2	5	97.61
tur	Exp.3	1	87.75
tur	Exp.3	2	91.64
tur	Exp.3	3	90.58
tur	Exp.3	4	93.21
tur	Exp.3	5	93.49
tur	Exp.4	2	84.60
tur	Exp.4	3	93.73
tur	Exp.4	4	95.25
tur	Exp.4	5	95.66
ckb	Exp.1	1	87.49
ckb	Exp.1	2	93.86
ckb	Exp.1	3	95.32
ckb	Exp.1	4	96.65
ckb	Exp.1	5	97.49
ckb	Exp.2	1	87.49
ckb	Exp.2	2	93.13
ckb	Exp.2	3	95.10
ckb	Exp.2	4	96.91
ckb	Exp.2	5	97.59
ckb	Exp.3	1	88.10
ckb	Exp.3	2	87.94
ckb	Exp.3	3	89.69
ckb	Exp.3	4	90.85
ckb	Exp.3	5	90.26
ckb	Exp.4	2	86.92
ckb	Exp.4	3	93.64
ckb	Exp.4	4	94.72
ckb	Exp.4	5	95.48
eng	Exp.1	1	74.85
eng	Exp.1	2	85.33
eng	Exp.1	3	86.58
eng	Exp.1	4	89.07
eng	Exp.1	5	89.16
eng	Exp.2	1	74.85
eng	Exp.2	2	84.07
eng	Exp.2	3	86.52
eng	Exp.2	4	88.26
eng	Exp.2	5	89.04
eng	Exp.3	1	79.41
eng	Exp.3	2	83.69
eng	Exp.3	3	87.03
eng	Exp.3	4	89.09
eng	Exp.3	5	89.00
eng	Exp.4	2	74.77
eng	Exp.4	3	85.52
eng	Exp.4	4	88.03
eng	Exp.4	5	90.87
khk	Exp.1	1	63.34
khk	Exp.1	2	73.56
khk	Exp.1	3	82.79
khk	Exp.1	4	84.54
khk	Exp.1	5	83.26
khk	Exp.2	1	63.34
khk	Exp.2	2	77.02
khk	Exp.2	3	80.37
khk	Exp.2	4	83.02
khk	Exp.2	5	85.11
khk	Exp.3	1	65.55
khk	Exp.3	2	71.47
khk	Exp.3	3	71.97
khk	Exp.3	4	76.02
khk	Exp.3	5	77.85
khk	Exp.4	2	66.34
khk	Exp.4	3	78.00
khk	Exp.4	4	83.11
khk	Exp.4	5	84.94
rus	Exp.1	1	61.76
rus	Exp.1	2	76.73
rus	Exp.1	3	81.11
rus	Exp.1	4	84.21
rus	Exp.1	5	84.18
rus	Exp.2	1	61.76
rus	Exp.2	2	76.20
rus	Exp.2	3	82.65
rus	Exp.2	4	85.40
rus	Exp.2	5	85.78
rus	Exp.3	1	61.76
rus	Exp.3	2	63.87
rus	Exp.3	3	66.83
rus	Exp.3	4	71.28
rus	Exp.3	5	71.13
rus	Exp.4	2	67.82
rus	Exp.4	3	81.41
rus	Exp.4	4	84.04
rus	Exp.4	5	84.33
lat	Exp.1	1	48.74
lat	Exp.1	2	62.01
lat	Exp.1	3	66.81
lat	Exp.1	4	70.36
lat	Exp.1	5	72.32
lat	Exp.2	1	48.74
lat	Exp.2	2	62.15
lat	Exp.2	3	67.78
lat	Exp.2	4	70.05
lat	Exp.2	5	71.25
lat	Exp.3	1	48.54
lat	Exp.3	2	51.97
lat	Exp.3	3	49.97
lat	Exp.3	4	52.93
lat	Exp.3	5	49.14
lat	Exp.4	2	45.29
lat	Exp.4	3	60.51
lat	Exp.4	4	63.76
lat	Exp.4	5	67.27
pbs	Exp.1	1	38.27
pbs	Exp.1	2	59.88
pbs	Exp.1	3	66.14
pbs	Exp.1	4	71.34
pbs	Exp.1	5	72.20
pbs	Exp.2	1	38.27
pbs	Exp.2	2	60.60
pbs	Exp.2	3	67.69
pbs	Exp.2	4	70.45
pbs	Exp.2	5	73.77
pbs	Exp.3	1	37.88
pbs	Exp.3	2	45.48
pbs	Exp.3	3	49.77
pbs	Exp.3	4	58.62
pbs	Exp.3	5	62.87
pbs	Exp.4	2	39.62
pbs	Exp.4	3	60.60
pbs	Exp.4	4	62.21
pbs	Exp.4	5	64.69
mwf	Exp.1	1	25.74
mwf	Exp.1	2	58.20
mwf	Exp.1	3	74.10
mwf	Exp.1	4	80.16
mwf	Exp.1	5	80.00
mwf	Exp.2	1	25.74
mwf	Exp.2	2	54.92
mwf	Exp.2	3	74.10
mwf	Exp.2	4	81.80
mwf	Exp.2	5	78.36
mwf	Exp.3	1	22.13
mwf	Exp.3	2	35.57
mwf	Exp.3	3	45.74
mwf	Exp.3	4	56.23
mwf	Exp.3	5	62.13
mwf	Exp.4	2	39.90
mwf	Exp.4	3	68.28
mwf	Exp.4	4	75.13
mwf	Exp.4	5	79.63
