lang	Exp	All	N	W	C
tur	Exp.1	2000	2000	0	0
tur	Exp.2	2000	1093	34	873
tur	Exp.3	2000	800	104	1096
tur	Exp.4	2022	1341	35	646
ckb	Exp.1	2000	2000	0	0
ckb	Exp.2	2000	1121	40	839
ckb	Exp.3	2000	800	96	1104
ckb	Exp.4	2056	1181	29	846
eng	Exp.1	2000	2000	0	0
eng	Exp.2	2008	1136	120	752
eng	Exp.3	2000	800	241	959
eng	Exp.4	2000	1372	75	553
khk	Exp.1	2000	2000	0	0
khk	Exp.2	2000	1096	201	703
khk	Exp.3	2000	800	479	721
khk	Exp.4	2055	1383	159	513
rus	Exp.1	2000	2000	0	0
rus	Exp.2	2017	1238	195	584
rus	Exp.3	2000	800	178	1022
rus	Exp.4	2000	1404	143	453
lat	Exp.1	2000	2000	0	0
lat	Exp.2	2000	1111	347	542
lat	Exp.3	2000	800	13	1187
lat	Exp.4	1960	1338	247	375
pbs	Exp.1	2000	2000	0	0
pbs	Exp.2	2000	1181	322	497
pbs	Exp.3	2000	800	531	669
pbs	Exp.4	1948	1385	234	329
mwf	Exp.1	500	500	0	0
mwf	Exp.2	500	302	72	126
mwf	Exp.3	500	220	123	157
mwf	Exp.4	511	395	42	74
